Text,Cluster,Size,Score,Rank
"I think women watch and listen to too much media and don't live in reality, the knight on the White horse with the 6 figure salary ain't coming, especially to 35 and up women with a kid or kids and single men do not want to deal with women's kids and the trip their on. Life is too short, I'm single in my 50s, never been married, I almost was twice and I thank God it never happened! I would of been miserable, all my friends who got married are divorced and I would watch them fall apart and I was like this is not for me. It was the best decision of my life. I'm totally free and it's beautiful and I don't put up with anyone's bullshit, especially women who think they are a 10 on the outside but are a one on the inside.",Coming,10,29.79,7
"I think women watch and listen to too much media and don't live in reality, the knight on the White horse with the 6 figure salary ain't coming, especially to 35 and up women with a kid or kids and single men do not want to deal with women's kids and the trip their on. Life is too short, I'm single in my 50s, never been married, I almost was twice and I thank God it never happened! I would of been miserable, all my friends who got married are divorced and I would watch them fall apart and I was like this is not for me. It was the best decision of my life. I'm totally free and it's beautiful and I don't put up with anyone's bullshit, especially women who think they are a 10 on the outside but are a one on the inside.",Women,51,12.1,8
"Next episode ""The Problem with Modern Man"" I look forward to seeing how High on the pedestal you put yourself... Humans, You have much to learn, it's embarrassing! Beings from the Billions of other Universes see how dumb carbon units are! UGH! YOUR NOT TRANSCENDING you're transforming.... Men to Women Women into Men & Now Mutilation of the Children! Sick Lot! GREAT! 😖",Modern Women,10,265.65,1
"Next episode ""The Problem with Modern Man"" I look forward to seeing how High on the pedestal you put yourself... Humans, You have much to learn, it's embarrassing! Beings from the Billions of other Universes see how dumb carbon units are! UGH! YOUR NOT TRANSCENDING you're transforming.... Men to Women Women into Men & Now Mutilation of the Children! Sick Lot! GREAT! 😖",Problem with Modern,5,243.9,2
"Next episode ""The Problem with Modern Man"" I look forward to seeing how High on the pedestal you put yourself... Humans, You have much to learn, it's embarrassing! Beings from the Billions of other Universes see how dumb carbon units are! UGH! YOUR NOT TRANSCENDING you're transforming.... Men to Women Women into Men & Now Mutilation of the Children! Sick Lot! GREAT! 😖",Dumb,5,51.04,3
"Next episode ""The Problem with Modern Man"" I look forward to seeing how High on the pedestal you put yourself... Humans, You have much to learn, it's embarrassing! Beings from the Billions of other Universes see how dumb carbon units are! UGH! YOUR NOT TRANSCENDING you're transforming.... Men to Women Women into Men & Now Mutilation of the Children! Sick Lot! GREAT! 😖",High,3,46.34,4
"Next episode ""The Problem with Modern Man"" I look forward to seeing how High on the pedestal you put yourself... Humans, You have much to learn, it's embarrassing! Beings from the Billions of other Universes see how dumb carbon units are! UGH! YOUR NOT TRANSCENDING you're transforming.... Men to Women Women into Men & Now Mutilation of the Children! Sick Lot! GREAT! 😖",Lot,9,33.74,5
"Next episode ""The Problem with Modern Man"" I look forward to seeing how High on the pedestal you put yourself... Humans, You have much to learn, it's embarrassing! Beings from the Billions of other Universes see how dumb carbon units are! UGH! YOUR NOT TRANSCENDING you're transforming.... Men to Women Women into Men & Now Mutilation of the Children! Sick Lot! GREAT! 😖",Women,51,12.1,6
Their problem is that modern women want to be entitled women with what they think are men's benefits without having to actually earn anything!,Modern Women,10,265.65,1
Their problem is that modern women want to be entitled women with what they think are men's benefits without having to actually earn anything!,Women,51,12.1,2
"I don't think that men need to, as you say, ""get in the gym"". I think men just need to be men. And women just need to be women. It's not a competition, just be who you are.

",Women,51,12.1,1
"Wife walks into a lawyers office and says she wants a divorce. Lawyer says, ok here's what you need to do in order to reap the most alimony, and for at least six months. Make him breakfast and dinner every day. Press his clothes. Meet him at the door coming home from work, and cater to his every need and demand being overly attentive. She agrees.

Six months later she went back to the office, lawyer asks if she's ready ~ to which she replied No Way! I would never divorce such a perfect man and I've never been more happy in my life!

There's a moral to this story.",Way,9,42.87,1
"Wife walks into a lawyers office and says she wants a divorce. Lawyer says, ok here's what you need to do in order to reap the most alimony, and for at least six months. Make him breakfast and dinner every day. Press his clothes. Meet him at the door coming home from work, and cater to his every need and demand being overly attentive. She agrees.

Six months later she went back to the office, lawyer asks if she's ready ~ to which she replied No Way! I would never divorce such a perfect man and I've never been more happy in my life!

There's a moral to this story.",Coming,10,29.79,2
"Wife walks into a lawyers office and says she wants a divorce. Lawyer says, ok here's what you need to do in order to reap the most alimony, and for at least six months. Make him breakfast and dinner every day. Press his clothes. Meet him at the door coming home from work, and cater to his every need and demand being overly attentive. She agrees.

Six months later she went back to the office, lawyer asks if she's ready ~ to which she replied No Way! I would never divorce such a perfect man and I've never been more happy in my life!

There's a moral to this story.",Ask,4,0.11,3
"Women are losing there virginity for stupid reasons, then being alone in their last 50-60 yrs. They should sell it for 5 million bucks to a guy and possibly marry him and have his children and be happy for her life, but whatever.",Married,8,41.31,1
"Women are losing there virginity for stupid reasons, then being alone in their last 50-60 yrs. They should sell it for 5 million bucks to a guy and possibly marry him and have his children and be happy for her life, but whatever.",Stupid,5,40.99,2
"Women are losing there virginity for stupid reasons, then being alone in their last 50-60 yrs. They should sell it for 5 million bucks to a guy and possibly marry him and have his children and be happy for her life, but whatever.",Reason,11,38.44,3
"Women are losing there virginity for stupid reasons, then being alone in their last 50-60 yrs. They should sell it for 5 million bucks to a guy and possibly marry him and have his children and be happy for her life, but whatever.",Lose,3,25.58,4
"Women are losing there virginity for stupid reasons, then being alone in their last 50-60 yrs. They should sell it for 5 million bucks to a guy and possibly marry him and have his children and be happy for her life, but whatever.",Women,51,12.1,5
I wouldnt feel bad at all for these ignorant people. if they just sit there and shovel a bunch of garbage into their mind without actually doing their own research they deserve it!,Feel Bad,2,200.16,1
I wouldnt feel bad at all for these ignorant people. if they just sit there and shovel a bunch of garbage into their mind without actually doing their own research they deserve it!,People,21,96.95,2
I wouldnt feel bad at all for these ignorant people. if they just sit there and shovel a bunch of garbage into their mind without actually doing their own research they deserve it!,Feel,11,24.45,3
"Layah, thank you for not wearing fake eyelashes. It brings credibility to you.",Bring,5,39.54,1
"Problem With Modern Women. Major problem is that in today's society, modern women is that they are lazy and are not dating enough in develop the proper people skills when determining how to find the right man. Instead, they rely on phony characteristics such as wealth, fame, status and power as factors instead of compatibility.",Modern Women,10,265.65,1
"Problem With Modern Women. Major problem is that in today's society, modern women is that they are lazy and are not dating enough in develop the proper people skills when determining how to find the right man. Instead, they rely on phony characteristics such as wealth, fame, status and power as factors instead of compatibility.",Problem with Modern,5,243.9,2
"Problem With Modern Women. Major problem is that in today's society, modern women is that they are lazy and are not dating enough in develop the proper people skills when determining how to find the right man. Instead, they rely on phony characteristics such as wealth, fame, status and power as factors instead of compatibility.",People,21,96.95,3
"Problem With Modern Women. Major problem is that in today's society, modern women is that they are lazy and are not dating enough in develop the proper people skills when determining how to find the right man. Instead, they rely on phony characteristics such as wealth, fame, status and power as factors instead of compatibility.",Problem with Modern Women,3,65.99,4
"Problem With Modern Women. Major problem is that in today's society, modern women is that they are lazy and are not dating enough in develop the proper people skills when determining how to find the right man. Instead, they rely on phony characteristics such as wealth, fame, status and power as factors instead of compatibility.",Power,2,42.68,5
"Problem With Modern Women. Major problem is that in today's society, modern women is that they are lazy and are not dating enough in develop the proper people skills when determining how to find the right man. Instead, they rely on phony characteristics such as wealth, fame, status and power as factors instead of compatibility.",Women,51,12.1,6
Who is Andrew Tate? I just can't follow this show. 😕,Andrew Tate,5,247.5,1
Who is Andrew Tate? I just can't follow this show. 😕,Tate,11,71.71,2
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Woman,22,97.35,1
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",People,21,96.95,2
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Left,11,69.21,3
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Heard,5,66.71,4
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Talking,6,65.01,5
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Hear,7,62.7,6
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Hate,5,62.57,7
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Damn,5,58.15,8
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Case,4,49.86,9
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Shocking,4,48.33,10
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Wrong,4,43.69,11
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Reason,11,38.44,12
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Person,6,36.23,13
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Mean,5,1.57,14
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",Love,13,0.87,15
Body count of 15 or 20 for women??? Don't kid yourselves ... more like 100+ and plenty in their mid-20s; lots of self-admittance online confirming this!,Kids,5,50.34,1
Body count of 15 or 20 for women??? Don't kid yourselves ... more like 100+ and plenty in their mid-20s; lots of self-admittance online confirming this!,Lot,9,33.74,2
Body count of 15 or 20 for women??? Don't kid yourselves ... more like 100+ and plenty in their mid-20s; lots of self-admittance online confirming this!,Women,51,12.1,3
"Ok, here's some ""steel, sharpening steel"" here. Laylah, you mentioned the importance of not wearing too much makeup, as expressed by your brother -with your agreement. But after hearing you drop the F bomb, so casually, several times during the interview, I turned off said interview. You see, there are many, quality men who may even overlook the application of an excessive amount of makeup, but for whom the nonchalant use of foul language may actually be the real deal breaker.",Hear,7,62.7,1
